0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:40:37 +0700] "GET /javaSpring/css/class.css HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [05/Aug/2025:14:40:37 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:29 +0700] "GET /javaSpring/classes/add HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:29 +0700] "GET /javaSpring/css/base.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:29 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:29 +0700] "GET /javaSpring/css/editClass.css HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:29 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:31 +0700] "GET /javaSpring/classes HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:31 +0700] "GET /javaSpring/css/base.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:31 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:31 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:31 +0700] "GET /javaSpring/js/class.js HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [05/Aug/2025:15:40:31 +0700] "GET /javaSpring/css/class.css HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:39 +0700] "GET /javaSpring HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:39 +0700] "GET /javaSpring/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/login HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/js/login.js HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/css/login.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/webjars/bootstrap/5.1.3/js/bootstrap.bundle.min.js HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/webjars/bootstrap/5.1.3/css/bootstrap.min.css HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:40 +0700] "GET /javaSpring/webjars/font-awesome/6.4.0/css/all.min.css HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:47 +0700] "POST /javaSpring/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:47 +0700] "GET /javaSpring HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:48 +0700] "GET /javaSpring/css/base.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:48 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:48 +0700] "GET /javaSpring/css/home.css HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:48 +0700] "GET /javaSpring/ HTTP/1.1" 200 7396
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:48 +0700] "GET /javaSpring/js/home.js HTTP/1.1" 200 3774
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:06:48 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:11 +0700] "GET /javaSpring/subjects HTTP/1.1" 200 8499
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:11 +0700] "GET /javaSpring/css/base.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:11 +0700] "GET /javaSpring/css/subject.css HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:11 +0700] "GET /javaSpring/js/subject.js HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:11 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:11 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:41 +0700] "GET /javaSpring/subjects/add HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:41 +0700] "GET /javaSpring/css/base.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:41 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:41 +0700] "GET /javaSpring/css/editSubject.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:41 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:07:41 +0700] "GET /javaSpring/subjects/@%7B/images/subject-default.png%7D HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:40 +0700] "GET /javaSpring/subjects HTTP/1.1" 200 8499
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:40 +0700] "GET /javaSpring/css/base.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:40 +0700] "GET /javaSpring/css/subject.css HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:40 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:40 +0700] "GET /javaSpring/js/subject.js HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:40 +0700] "GET /javaSpring/images/adminAvatar.png HTTP/1.1" 200 43203
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:43 +0700] "GET /javaSpring/users HTTP/1.1" 200 13373
0:0:0:0:0:0:0:1 - - [05/Aug/2025:16:08:43 +0700] "GET /javaSpring/js/base.js HTTP/1.1" 200 1056
